caseid,weight,vote2020,biden_winner,pres_vote,birthyr,age,age9,gender,marstat,employ,faminc_new,pid3,pid7,presvote16post,inputzip,inputstate,educ7,hispanic,ethnicity,votereg,wave
181291192,0.393687923875667,I am sure I voted,Definitely the rightful winner,Joe Biden,1980,40,35 - 44,Male,Never married,Full-time,"$120,000 - $149,999",Independent,Independent,Gary Johnson,8879,New Jersey,High school diploma or the equivalent (GED),No,White,Yes,13
187292113,0.980725534422881,I did not vote in the election this November,Definitely not the rightful winner,NA,1980,40,35 - 44,Male,Never married,Unemployed,"$10,000 - $19,999",Republican,Strong Republican,Did not vote for President,71037,Louisiana,Did not graduate from high school,No,White,No,13
215603635,1.04131191059352,I am sure I voted,Definitely not the rightful winner,Donald Trump,1942,78,75 - 84,Male,Married,Retired,Prefer not to say,Independent,Lean Republican,Donald Trump,11746,New York,Some college,No,White,Yes,13
148123609,0.922438488211532,I am sure I voted,Definitely the rightful winner,Joe Biden,1975,45,45 - 54,Female,Divorced,Full-time,"$80,000 - $99,999",Independent,Lean Democrat,Did not vote for President,33763,Florida,Bachelor's degree,No,White,Yes,13
213711073,1.06355890762245,I am sure I voted,Definitely the rightful winner,Joe Biden,1962,58,55 - 64,Male,Domestic / civil partnership,Part-time,"$20,000 - $29,999",Democrat,Strong Democrat,Hillary Clinton,10472,New York,Bachelor's degree,No,Black or African American,Yes,13
209412679,0.838047653496065,I am sure I voted,Definitely the rightful winner,Joe Biden,1986,34,25 - 34,Female,Never married,Full-time,"$30,000 - $39,999",Democrat,Strong Democrat,Did not vote for President,10004,New York,Some college,No,Black or African American,Yes,13
144865162,0.90126838226547,I am sure I voted,Definitely the rightful winner,Joe Biden,1967,53,45 - 54,Female,Never married,Unemployed,Prefer not to say,Democrat,Strong Democrat,Did not vote for President,61107,Illinois,High school diploma or the equivalent (GED),No,Black or African American,Yes,13
168375457,0.991664330256386,I am sure I voted,Definitely the rightful winner,Joe Biden,1959,61,55 - 64,Male,Married,Unemployed,"$100,000 - $119,999",Democrat,Strong Democrat,Hillary Clinton,7030,New Jersey,Bachelor's degree,No,White,Yes,13
187969738,1.05161086299079,I am sure I voted,Definitely the rightful winner,Joe Biden,1977,43,35 - 44,Female,Never married,Homemaker,"Less than $10,000",Democrat,Strong Democrat,Hillary Clinton,62864,Illinois,Bachelor's degree,No,White,Yes,13
215404150,0.775607127324437,I am sure I voted,Definitely the rightful winner,Joe Biden,1954,66,65 - 74,Male,Married,Retired,"$70,000 - $79,999",Democrat,Strong Democrat,Hillary Clinton,76001,Texas,Master's degree,No,Black or African American,Yes,13
306411424,0.758229217305839,I am sure I voted,Definitely the rightful winner,Joe Biden,1976,44,35 - 44,Female,Never married,Homemaker,"$10,000 - $19,999",Democrat,Strong Democrat,Hillary Clinton,54901,Wisconsin,High school diploma or the equivalent (GED),No,White,Yes,13
140906230,0.705710381647435,I am sure I voted,Definitely the rightful winner,Joe Biden,1946,74,65 - 74,Female,Widowed,Retired,"$20,000 - $29,999",Democrat,Strong Democrat,Hillary Clinton,44440,Ohio,High school diploma or the equivalent (GED),No,White,Yes,13
141464914,0.723122646200961,I did not vote in the election this November,Definitely not the rightful winner,NA,1946,74,65 - 74,Female,Married,Retired,"$10,000 - $19,999",Republican,Strong Republican,Did not vote for President,56308,Minnesota,High school diploma or the equivalent (GED),No,White,No,13
